;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
148;South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;10700.0;36,2;-0,29;61,81;86,4;107,0;18,2;22;0,025;0,303;0,671
149;Spain ;WESTERN EUROPE                     ;40397842;504782;22000.0;80,0;0,99;4,42;97,9;453,5;10,06;9,72;0,04;0,295;0,665
150;Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;3700.0;308,2;-1,31;14,35;92,3;61,5;15,51;6,52;0,178;0,276;0,545
151;Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;1900.0;16,5;-0,02;62,5;61,1;16,3;34,53;8,97;0,387;0,203;0,41
152;Suriname ;LATIN AMER. & CARIB    ;439117;163270;4000.0;2,7;-8,81;23,57;93,0;184,7;18,02;7,27;0,13;0,22;0,65
153;Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;4900.0;65,5;0;69,27;81,6;30,8;27,41;29,74;0,119;0,515;0,366
154;Sweden ;WESTERN EUROPE                     ;9016596;449964;26800.0;20,0;1,67;2,77;99,0;715,0;10,27;10,31;0,011;0,282;0,707
155;Switzerland ;WESTERN EUROPE                     ;7523934;41290;32700.0;182,2;4,05;4,39;99,0;680,9;9,71;8,49;0,015;0,34;0,645
156;Syria ;NEAR EAST                          ;18881361;185180;3300.0;102,0;0;29,53;76,9;153,8;27,76;4,81;0,249;0,23;0,519
157;Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;23400.0;640,3;0;6,4;96,1;591,0;12,56;6,48;0,018;0,259;0,723
158;Tajikistan ;C.W. OF IND. STATES ;7320815;143100;1000.0;51,2;-2,86;110,76;99,4;33,5;32,65;8,25;0,234;0,286;0,48
159;Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;7400.0;125,7;0;20,48;92,6;108,9;13,87;7,04;0,099;0,441;0,46
160;Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;1500.0;97,7;0;66,61;60,9;10,6;37,01;9,83;0,395;0,204;0,401
161;Tonga ;OCEANIA                            ;114689;748;2200.0;153,3;0;12,62;98,5;97,7;25,37;5,28;0,23;0,27;0,5
162;Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;9500.0;207,9;-10,83;24,31;98,6;303,5;12,9;10,57;0,007;0,57;0,423
163;Tunisia ;NORTHERN AFRICA                    ;10175014;163610;6900.0;62,2;-0,57;24,77;74,2;123,6;15,52;5,13;0,132;0,318;0,55
164;Turkey ;NEAR EAST                          ;70413958;780580;6700.0;90,2;0;41,04;86,5;269,5;16,62;5,97;0,117;0,298;0,585
165;Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;5800.0;10,3;-0,86;73,08;98,0;74,6;27,61;8,6;0,209;0,38;0,411
